datetime order_book_id side position_effect
2020-07-31 14:03:00 I88 BUY CLOSE_TODAY
2020-07-31 14:04:00 I88 SELL OPEN
2020-07-31 14:05:00 I88 BUY CLOSE_TODAY
2020-07-31 14:07:00 I88 SELL OPEN
2020-07-31 14:08:00 I88 BUY CLOSE_TODAY
2020-07-31 14:10:00 I88 SELL OPEN
2020-07-31 14:14:00 I88 BUY CLOSE_TODAY
2020-08-03 09:12:00 I88 SELL OPEN
2020-08-03 09:44:00 I88 BUY CLOSE_TODAY
2020-08-03 09:45:00 I88 SELL OPEN
2020-08-03 09:48:00 I88 BUY CLOSE_TODAY
2020-08-03 09:50:00 I88 SELL OPEN
2020-08-03 09:51:00 I88 BUY CLOSE_TODAY
2020-08-03 09:54:00 I88 SELL OPEN
2020-08-03 09:55:00 I88 BUY CLOSE_TODAY
2020-08-03 10:41:00 I88 SELL OPEN
2020-08-03 10:48:00 I88 BUY CLOSE_TODAY
2020-08-03 10:50:00 I88 SELL OPEN
2020-08-03 10:51:00 I88 BUY CLOSE_TODAY
2020-08-03 11:14:00 I88 SELL OPEN
2020-08-03 11:16:00 I88 BUY CLOSE_TODAY
2020-08-03 14:10:00 I88 SELL OPEN
2020-08-03 14:11:00 I88 BUY CLOSE_TODAY
2020-08-03 14:14:00 I88 SELL OPEN
2020-08-03 14:18:00 I88 BUY CLOSE_TODAY
2020-08-03 21:02:00 I88 SELL OPEN
2020-08-03 21:03:00 I88 BUY CLOSE_TODAY
2020-08-03 21:10:00 I88 SELL OPEN
2020-08-03 21:24:00 I88 BUY CLOSE_TODAY
2020-08-06 09:17:00 I88 SELL OPEN
2020-08-06 09:28:00 I88 BUY CLOSE_TODAY
2020-08-10 21:01:00 I88 BUY OPEN
2020-08-10 21:24:00 I88 SELL CLOSE_TODAY
2020-08-10 21:30:00 I88 BUY OPEN
2020-08-10 22:07:00 I88 SELL CLOSE_TODAY
2020-08-11 09:04:00 I88 BUY OPEN
2020-08-11 09:08:00 I88 SELL CLOSE_TODAY
2020-08-11 09:11:00 I88 BUY OPEN
2020-08-11 09:16:00 I88 SELL CLOSE_TODAY
2020-08-11 09:19:00 I88 BUY OPEN
2020-08-11 09:34:00 I88 SELL CLOSE_TODAY
2020-08-11 09:36:00 I88 BUY OPEN
2020-08-11 09:37:00 I88 SELL CLOSE_TODAY
2020-08-11 21:07:00 I88 BUY OPEN
2020-08-11 21:08:00 I88 SELL CLOSE_TODAY
2020-08-11 21:09:00 I88 BUY OPEN
2020-08-11 21:11:00 I88 SELL CLOSE_TODAY
2020-08-11 22:25:00 I88 BUY OPEN
2020-08-11 22:57:00 I88 SELL CLOSE_TODAY
2020-08-12 09:01:00 I88 BUY OPEN
2020-08-12 10:05:00 I88 SELL CLOSE_TODAY
2020-08-12 10:15:00 I88 BUY OPEN
2020-08-12 10:31:00 I88 SELL CLOSE_TODAY
2020-08-18 21:06:00 I88 SELL OPEN
2020-08-18 21:17:00 I88 BUY CLOSE_TODAY
2020-08-18 21:18:00 I88 SELL OPEN
2020-08-18 21:20:00 I88 BUY CLOSE_TODAY
2020-08-18 21:21:00 I88 SELL OPEN
2020-08-18 21:26:00 I88 BUY CLOSE_TODAY
2020-08-18 21:27:00 I88 SELL OPEN
2020-08-18 21:28:00 I88 BUY CLOSE_TODAY
2020-08-19 09:46:00 I88 BUY OPEN
2020-08-19 09:47:00 I88 SELL CLOSE_TODAY
2020-08-20 13:55:00 I88 BUY OPEN
2020-08-20 14:04:00 I88 SELL CLOSE_TODAY
2020-08-21 09:12:00 I88 SELL OPEN
2020-08-21 09:16:00 I88 BUY CLOSE_TODAY
2020-08-21 09:20:00 I88 SELL OPEN
2020-08-21 09:21:00 I88 BUY CLOSE_TODAY
2020-08-21 09:28:00 I88 SELL OPEN
2020-08-21 09:29:00 I88 BUY CLOSE_TODAY
2020-08-21 09:30:00 I88 SELL OPEN
2020-08-21 09:31:00 I88 BUY CLOSE_TODAY
2020-08-21 09:36:00 I88 SELL OPEN
2020-08-21 09:50:00 I88 BUY CLOSE_TODAY
2020-08-21 13:59:00 I88 BUY OPEN
2020-08-21 14:00:00 I88 SELL CLOSE_TODAY
2020-08-21 14:14:00 I88 BUY OPEN
2020-08-21 14:21:00 I88 SELL CLOSE_TODAY
2020-08-21 14:29:00 I88 BUY OPEN
2020-08-21 14:47:00 I88 SELL CLOSE_TODAY
2020-08-21 21:02:00 I88 BUY OPEN
2020-08-21 21:06:00 I88 SELL CLOSE_TODAY
2020-08-21 21:09:00 I88 BUY OPEN
2020-08-21 21:13:00 I88 SELL CLOSE_TODAY
2020-08-21 21:14:00 I88 BUY OPEN
